event_name,origin_time,latitude,longitude,depth
2018FIJI,2018-09-06T15:49:14.42,-18.495,179.356,617.87
20110311Japan,2011-03-11T05:46:23,38.3,142.5,19.7
2018Hualin_mainshock,2018-02-06T23:50:42,24.1,121.73,6.31
2018tonga,2018-08-19T00:19:40,-18.113,-178.154,600
20200326_Data,2020-03-26T15:38:04,5.5779,125.0427,59
20200206_Data,2020-02-06T13:40:09,5.469,126.494,43.64
20191215_Data,2019-12-15T06:11:51,6.6969,125.1739,18
20191031_Data,2019-10-31T01:11:19,6.9079,125.1833,10
20191029_Data,2019-10-29T01:04:43,6.7587,124.9952,14.95
20191016_Data,2019-10-16T11:37:05,6.7138,125.0012,12.76
20190929_Data,2019-09-29T02:02:51,5.6929,126.5495,73
20210114_seminar,2021-01-14T18:28:18,-2.976,118.901,18
20060127_Banda_Sea,2006-01-27T16:58:49,-5.44,128.1,341
